title,categories,dollarPrice,rating,reviewCount,img,yelpPage,address,district,zipcode,phone
FREQ NYC,Music Venues;Venues & Event Spaces;Dance Clubs,$$,2.0,11.0,https://s3-media3.fl.yelpcdn.com/bphoto/mZU-rWDY0D2CmDKcVJYMKw/ls.jpg,https://www.yelp.com/biz/freq-nyc-new-york,637 W 50th St,Hell's Kitchen,10025,(212) 247-2447
Ethyl’s Alcohol & Food,American (Traditional);Cocktail Bars,$$,3.0,176.0,https://s3-media2.fl.yelpcdn.com/bphoto/hU9__ZgEkcORtqg11fhnNQ/ls.jpg,https://www.yelp.com/biz/ethyls-alcohol-and-food-new-york,1629 2nd Ave,Yorkville,10025,(212) 300-4132
The Iris and B. Gerald Cantor Roof Garden,Bars;Museums,$$$,4.0,41.0,https://s3-media4.fl.yelpcdn.com/bphoto/WWPD60tbdQm-gcyCPsBytg/ls.jpg,https://www.yelp.com/biz/the-iris-and-b-gerald-cantor-roof-garden-new-york,1000 Fifth Ave Upper E Side,Central Park,10025,(212) 535-7710
Bungalo Lounge Bar,Lounges;Hookah Bars;Music Venues,$$,2.0,141.0,https://s3-media3.fl.yelpcdn.com/bphoto/ivqY2kR7uf_qgi39ONuUCw/ls.jpg,https://www.yelp.com/biz/bungalo-lounge-bar-astoria-2,32-03 Broadway,Astoria,10025,(718) 204-7010
Reif’s Tavern,Pubs;Sports Bars,$,4.0,46.0,https://s3-media1.fl.yelpcdn.com/bphoto/y2p6u7S24CxXtE8n_w_Y0g/ls.jpg,https://www.yelp.com/biz/reifs-tavern-new-york,302 E 92nd St,Yorkville,10025,(212) 426-0519
Parlay Cafe,Hookah Bars,$$,4.0,43.0,https://s3-media3.fl.yelpcdn.com/bphoto/NIsIybY8NYsS_xIhrG1Wkg/ls.jpg,https://www.yelp.com/biz/parlay-cafe-new-york,1780 Amsterdam Ave,Harlem,10025,(646) 882-0179
The Royal Underground,American (New);Whiskey Bars;Cocktail Bars,,,,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/the-royal-underground-new-york,36-10 30th Ave,Astoria,10025,(718) 606-6610
Pocket Bar NYC,Wine Bars,$$,4.0,271.0,https://s3-media3.fl.yelpcdn.com/bphoto/QfIn8pnTR2h5mWCyS4ChCQ/ls.jpg,https://www.yelp.com/biz/pocket-bar-nyc-new-york,455 W 48th St,Hell's Kitchen,10025,(646) 682-9062
SuperNova,Cocktail Bars;American (Traditional);Breakfast & Brunch,$$,3.0,98.0,https://s3-media2.fl.yelpcdn.com/bphoto/y_AOZwsdyiIts6s1bbYT8A/ls.jpg,https://www.yelp.com/biz/supernova-new-york-2,226 W 52nd St,Theater District,10025,(646) 459-5820
Shalel Kitchen,Lounges;Moroccan;Desserts,$$,4.0,578.0,https://s3-media1.fl.yelpcdn.com/bphoto/Opt8W9-COYVI9vviJKFopw/ls.jpg,https://www.yelp.com/biz/shalel-kitchen-new-york,65 W 70th St,Upper West Side,10025,(212) 873-2300
Dizzy’s Club,Jazz & Blues;Venues & Event Spaces;Dinner Theater,$$$,4.0,356.0,https://s3-media3.fl.yelpcdn.com/bphoto/rB7hAEjMcBpiWD4oHJd9CQ/ls.jpg,https://www.yelp.com/biz/dizzys-club-new-york,10 Columbus Cir,Hell's Kitchen,10025,(212) 258-9595
Burke & Wills,Australian;Bars;Desserts,$$$,4.0,382.0,https://s3-media3.fl.yelpcdn.com/bphoto/AR6DDQcOEt4wOrYA88ljCw/ls.jpg,https://www.yelp.com/biz/burke-and-wills-new-york,226 W 79th St,Upper West Side,10025,(646) 823-9251
Kissin Improv,Comedy Clubs;Performing Arts;Specialty Schools,,5.0,2.0,https://s3-media2.fl.yelpcdn.com/bphoto/9xJOZuvuGN8xqfiFhUwQuA/ls.jpg,https://www.yelp.com/biz/kissin-improv-new-york,2067 Broadway,Upper West Side,10025,(917) 692-5000
Casa de Montecristo,Tobacco Shops;Cigar Bars;Lounges,$$,4.0,47.0,https://s3-media1.fl.yelpcdn.com/bphoto/ion1iaCqycYKp4mdegqN7A/ls.jpg,https://www.yelp.com/biz/casa-de-montecristo-new-york-2,334 E 73rd St,Upper East Side,10025,(212) 717-7403
The Dakota Bar,Cocktail Bars;Breakfast & Brunch;American (Traditional),$$,3.0,192.0,https://s3-media2.fl.yelpcdn.com/bphoto/mfGqFYt8mesa1tQocd6o4A/ls.jpg,https://www.yelp.com/biz/the-dakota-bar-new-york,53 W 72nd St,Upper West Side,10025,(212) 787-0700
Hudson’s At Pier 81,Seafood;Lounges;Mediterranean,$$,4.0,111.0,https://s3-media1.fl.yelpcdn.com/bphoto/m5laRQpDkrhIwjIcOhZeIA/ls.jpg,https://www.yelp.com/biz/hudsons-at-pier-81-new-york-2,Pier 81 At 41st St,,10025,(212) 630-8840
Deejay Bravo,Music Venues;DJs,,5.0,1.0,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/deejay-bravo-manhattan,202 E 77th St,Upper East Side,10025,(212) 920-4351
Cantina 48,Lounges;Mexican,,5.0,1.0,https://s3-media4.fl.yelpcdn.com/bphoto/eI4ITPb4x_AMdw3SnNKGTg/ls.jpg,https://www.yelp.com/biz/cantina-48-new-york-2,605 W 48th St,Hell's Kitchen,10025,(212) 957-1700
ComedySportz,Comedy Clubs,$$,5.0,17.0,https://s3-media3.fl.yelpcdn.com/bphoto/p-H5jCGqt3VlSTumXxdHmA/ls.jpg,https://www.yelp.com/biz/comedysportz-new-york-2,318 West 53rd Street,Theater District,10025,(646) 580-0291
Honeycomb Playhouse,Lounges,,,,https://s3-media1.fl.yelpcdn.com/bphoto/j-2fBWXYjSfGJr6uw8oy_Q/ls.jpg,https://www.yelp.com/biz/honeycomb-playhouse-new-york,735A St Nicholas Ave,Harlem,10025,(646) 998-3457
21 Jam Street by Dance Aficionados,Dance Studios;Lounges,$,4.0,2.0,https://s3-media2.fl.yelpcdn.com/bphoto/kw-yHxjFouAbS0XSoow-2A/ls.jpg,https://www.yelp.com/biz/21-jam-street-by-dance-aficionados-long-island-city,31-21 31st St,Astoria,10025,(929) 522-0017
G-Bar,Lounges;Italian,$$,3.0,103.0,https://s3-media2.fl.yelpcdn.com/bphoto/SuamjtBFDcssFEuKvuRndg/ls.jpg,https://www.yelp.com/biz/g-bar-bronx,575 Grand Concourse,Concourse Village,10025,(718) 402-6996
Papa Juan Cigar Room Bronx,Tobacco Shops;Lounges,$$,5.0,1.0,https://s3-media2.fl.yelpcdn.com/bphoto/sB1HzgTRST1LX_qzMZNGDg/ls.jpg,https://www.yelp.com/biz/papa-juan-cigar-room-bronx-bronx,886 Gerard Ave,Concourse Village,10025,(929) 265-9552
Veil,Lounges;Venues & Event Spaces;Performing Arts,,,,https://s3-media2.fl.yelpcdn.com/bphoto/YeXBcpAQ_SVbBTDa1haKBA/ls.jpg,https://www.yelp.com/biz/veil-new-york,680 12th Ave,Hell's Kitchen,10025,(212) 421-5469
Viva Margarita,Mexican;Cocktail Bars,$$,3.0,139.0,https://s3-media2.fl.yelpcdn.com/bphoto/p9GoGq74rTDrpEnmG1rC6A/ls.jpg,https://www.yelp.com/biz/viva-margarita-cliffside-park,364 Lawton Ave,,10025,(551) 313-0760
Pebble Beach Pub,Dive Bars;Sports Bars;American (New),$,3.0,21.0,https://s3-media4.fl.yelpcdn.com/bphoto/4n7BKlWcOYRKKIzOShcnQQ/ls.jpg,https://www.yelp.com/biz/pebble-beach-pub-cliffside-park,658 Anderson Ave,,10025,(201) 945-1611
Bronx Art Space,Music Venues;Performing Arts,,4.0,1.0,https://s3-media3.fl.yelpcdn.com/bphoto/1E2YoLgdzgdS_m0OdHh5uw/ls.jpg,https://www.yelp.com/biz/bronx-art-space-west-bronx,305 E 140th St,Mott Haven,10025,(718) 401-8144
Storage Bar,Speakeasies;Cocktail Bars,,3.0,13.0,https://s3-media4.fl.yelpcdn.com/bphoto/jvJehFMMMyz_-mXSHieWQg/ls.jpg,https://www.yelp.com/biz/storage-bar-new-york,1707 2nd Ave,Yorkville,10025,(646) 559-5889
Conmigo,Cocktail Bars;Tacos,$$,4.0,143.0,https://s3-media3.fl.yelpcdn.com/bphoto/bmHxOBSPVuLeOIvIiyvnHg/ls.jpg,https://www.yelp.com/biz/conmigo-new-york,1685 1st Ave,Yorkville,10025,(212) 256-0056
Harlem Cigar Room,Cigar Bars,$$,4.0,25.0,https://s3-media3.fl.yelpcdn.com/bphoto/BFa2DbVWvx2Dqc3E8dOUHQ/ls.jpg,https://www.yelp.com/biz/harlem-cigar-room-new-york-2,3456 Broadway,Harlem,10025,(212) 283-7272
Bar Seine,Bars,$$$,3.0,7.0,https://s3-media4.fl.yelpcdn.com/bphoto/jI7O2vc7unLbeK9yZuOnsg/ls.jpg,https://www.yelp.com/biz/bar-seine-new-york,37 E 64th St,Upper East Side,10025,(212) 606-4647
Beacon Bar,Cocktail Bars,$$,3.0,50.0,https://s3-media1.fl.yelpcdn.com/bphoto/4pOh1FCOKmqzxIJZqi2DPA/ls.jpg,https://www.yelp.com/biz/beacon-bar-manhattan,2130 Broadway 75th St,Upper West Side,10025,(212) 787-1100
Trinity Pub,Pubs;Trivia Hosts;Cocktail Bars,$$,4.0,106.0,https://s3-media2.fl.yelpcdn.com/bphoto/Uig3RR3eZ_BPXKI_oGKAiA/ls.jpg,https://www.yelp.com/biz/trinity-pub-new-york,229 E 84th St,Yorkville,10025,(212) 327-4450
The Lit. Bar,Bookstores;Bars,,,,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/the-lit-bar-bronx,131 Alexander Ave,Mott Haven,10025,(347) 955-3610
Bar Pleiades,Cafes;Cocktail Bars,$$$,4.0,81.0,https://s3-media4.fl.yelpcdn.com/bphoto/qmUvIuPWGzKm1hJFwbL4NA/ls.jpg,https://www.yelp.com/biz/bar-pleiades-new-york,20 E 76th St,Upper East Side,10025,(212) 772-2600
Eastside Billiards,Pool Halls;Bars,$$,3.0,124.0,https://s3-media3.fl.yelpcdn.com/bphoto/hohVl9wpSZGbX5tT0f7JKA/ls.jpg,https://www.yelp.com/biz/eastside-billiards-new-york,163 E 86th St,Upper East Side,10025,(212) 831-7665
La Perla Del Sur,Dance Clubs;Bars;Pool & Billiards,,1.0,1.0,https://s3-media1.fl.yelpcdn.com/bphoto/MtQEQy8KCa2WOWUSXx6LIg/ls.jpg,https://www.yelp.com/biz/la-perla-del-sur-guttenberg,6714 Bergenline Ave,,10025,(201) 868-8840
The Office,Cocktail Bars,$$$$,3.0,62.0,https://s3-media1.fl.yelpcdn.com/bphoto/h2up9Xp8WBIPfrcZVal6Rw/ls.jpg,https://www.yelp.com/biz/the-office-new-york-2,Located in Mandarin Oriental - New York,Upper West Side,10025,
Pitchounette81,Wine Bars;French;Cocktail Bars,,4.0,69.0,https://s3-media2.fl.yelpcdn.com/bphoto/cTfdQAhRyn_TMCBMBDqKGg/ls.jpg,https://www.yelp.com/biz/pitchounette81-new-york,245 East 81st St,Upper East Side,10025,(646) 707-0295
Jbird,Lounges;Music Venues,$$$,3.0,3.0,https://s3-media3.fl.yelpcdn.com/bphoto/5V7xrMD_W0G4P4cV2cHDpw/ls.jpg,https://www.yelp.com/biz/jbird-manhattan,251 W 48th St,Theater District,10025,
Flûte Midtown,Lounges;Champagne Bars;Speakeasies,$$$,3.0,257.0,https://s3-media2.fl.yelpcdn.com/bphoto/oA1gWvoNv_6HuyJ1z_xW9g/ls.jpg,https://www.yelp.com/biz/flûte-midtown-new-york-3,205 W 54th St,Midtown West,10025,(212) 265-5169
Stella & Fly,Coffee & Tea;Wine Bars,,5.0,37.0,https://s3-media2.fl.yelpcdn.com/bphoto/DlYEQt1f0e3-Tb_6JXPaLA/ls.jpg,https://www.yelp.com/biz/stella-and-fly-new-york,1705 1st Ave,Yorkville,10025,(646) 678-3947
Desi Saturdays,Bars;DJs;Party & Event Planning,,3.0,3.0,https://s3-media2.fl.yelpcdn.com/bphoto/hXHSFdEaLOhbTdKunkdvfQ/ls.jpg,https://www.yelp.com/biz/desi-saturdays-new-york,605 W 48th St,Hell's Kitchen,10025,(908) 425-1603
R Jays Pub,Dive Bars,$,2.0,2.0,https://s3-media3.fl.yelpcdn.com/bphoto/PES_SiYHKbhjPkrxB1lpWA/ls.jpg,https://www.yelp.com/biz/r-jays-pub-cliffside-park,16 Palisade Ave,,10025,
3308 Eats N Drinks,Bars;Comfort Food,,4.0,17.0,https://s3-media4.fl.yelpcdn.com/bphoto/jV1NZTU8Yb3tvA_87pmlIA/ls.jpg,https://www.yelp.com/biz/3308-eats-n-drinks-astoria,33-08 Broadway,Astoria,10025,(718) 278-1619
LA CHIVA LOCA PARTY BUS,Nightlife;Party Bus Rentals,,2.0,6.0,https://s3-media2.fl.yelpcdn.com/bphoto/_QCavOh8buXhkFN0j7jGfg/ls.jpg,https://www.yelp.com/biz/la-chiva-loca-party-bus-queens,Serving Queens and the Surrounding Area,,10025,(571) 522-4482
At the Wallace,Sports Bars;American (Traditional);Hot Dogs,$$,4.0,169.0,https://s3-media1.fl.yelpcdn.com/bphoto/j1OyQWlbRmIEVksyG1geAQ/ls.jpg,https://www.yelp.com/biz/at-the-wallace-new-york-3,3612 Broadway,Harlem,10025,(212) 234-6896
Burying The Hatchet,Performing Arts;Comedy Clubs,,5.0,1.0,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/burying-the-hatchet-new-york,1627 Broadway,Theater District,10025,(212) 921-7862
Vanguard Wine Bar,Wine Bars,$$,4.0,151.0,https://s3-media3.fl.yelpcdn.com/bphoto/As7Q3Re3FDsAKvOvwN7gPg/ls.jpg,https://www.yelp.com/biz/vanguard-wine-bar-new-york-2,189 Amsterdam Ave,Upper West Side,10025,(212) 799-9463
Hudson Terrace,Venues & Event Spaces;Lounges,$$$,2.0,766.0,https://s3-media1.fl.yelpcdn.com/bphoto/QOBVfdGNrhIcLOCoOsRjrw/ls.jpg,https://www.yelp.com/biz/hudson-terrace-new-york,621 W 46th St,Hell's Kitchen,10025,(212) 315-9400
Sunday Night Improv,Performing Arts;Comedy Clubs,$,4.0,6.0,https://s3-media4.fl.yelpcdn.com/bphoto/FhZwEY5FUSONd5qGKJ_8eQ/ls.jpg,https://www.yelp.com/biz/sunday-night-improv-new-york,236 W 78th St,Upper West Side,10025,(212) 353-7716
The Astorian,Cocktail Bars;American (New),$$,4.0,101.0,https://s3-media3.fl.yelpcdn.com/bphoto/rnN0eWVx3Ev2RYkG9nl2XA/ls.jpg,https://www.yelp.com/biz/the-astorian-astoria,28-50 31st St,Astoria,10025,(917) 745-1179
Diamond Dogs,Cocktail Bars;Beer Gardens,$$,4.0,118.0,https://s3-media3.fl.yelpcdn.com/bphoto/cp5C_NMqJEcof79o6fb7sw/ls.jpg,https://www.yelp.com/biz/diamond-dogs-astoria,34-04 31st Ave,Astoria,10025,(929) 522-0061
DTUT,Bars;Coffee & Tea,$,4.0,459.0,https://s3-media4.fl.yelpcdn.com/bphoto/mBnfA37dJgMisgnbKMQYTg/ls.jpg,https://www.yelp.com/biz/dtut-new-york,1744 2nd Ave,Yorkville,10025,(212) 410-6449
The Supply House,Bars;American (Traditional);Breakfast & Brunch,$$,4.0,303.0,https://s3-media2.fl.yelpcdn.com/bphoto/cFjkK38JHGnliAT7uzJ5Eg/ls.jpg,https://www.yelp.com/biz/the-supply-house-new-york-2,1647 2nd Ave,Yorkville,10025,(646) 861-3585
Patrona Fusion Restaurant,Italian;Latin American;Bars,$$$,2.0,41.0,https://s3-media3.fl.yelpcdn.com/bphoto/RVGPLnnom6H4EIIFrzw8Kg/ls.jpg,https://www.yelp.com/biz/patrona-fusion-restaurant-west-new-york,759 Farragut Pl,,10025,(201) 453-1200
King Kong on Broadway,Nightlife,,3.0,11.0,https://s3-media1.fl.yelpcdn.com/bphoto/VotyCncZPKrmcePUg6N4ZA/ls.jpg,https://www.yelp.com/biz/king-kong-on-broadway-new-york,1681 Broadway,Theater District,10025,
Oze Tavern,Lounges,$$,2.0,7.0,https://s3-media3.fl.yelpcdn.com/bphoto/i81OitTC0o2Q-08B0ALS6g/ls.jpg,https://www.yelp.com/biz/oze-tavern-bronx-2,256 E 138th St,Mott Haven,10025,(718) 993-3032
Dive 75,Dive Bars;Sports Bars,$$,3.0,254.0,https://s3-media1.fl.yelpcdn.com/bphoto/AyUHVW23WWGwm4D91v7DOQ/ls.jpg,https://www.yelp.com/biz/dive-75-new-york,101 W 75th St,Upper West Side,10025,(212) 362-7518
Doubles Club,Dance Clubs;Breakfast & Brunch,$$,3.0,3.0,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/doubles-club-new-york,783 5th Ave,,10025,(212) 751-9595
Q E D - A Place to Show & Tell,Comedy Clubs;Performing Arts,$,4.0,58.0,https://s3-media1.fl.yelpcdn.com/bphoto/x9XHrbuB5mxFuZiclGtEIQ/ls.jpg,https://www.yelp.com/biz/q-e-d-a-place-to-show-and-tell-astoria,27-16 23rd Ave,Astoria,10025,(347) 451-3873
The Cocktail Room,Cocktail Bars,,2.0,1.0,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/the-cocktail-room-new-york,334 E 73rd St Frnt,Upper East Side,10025,(212) 988-6100
Iguana Restaurant & Dance Lounge,Dance Clubs;Mexican;Tex-Mex,$$,3.0,763.0,https://s3-media4.fl.yelpcdn.com/bphoto/lr9n45_3ug2tXi5BkpYj1w/ls.jpg,https://www.yelp.com/biz/iguana-restaurant-and-dance-lounge-new-york,240 W 54th St,Theater District,10025,(212) 765-5454
Broadway Varietease,Comedy Clubs;Performing Arts;Music Venues,,,,https://s3-media4.fl.yelpcdn.com/bphoto/w59STmVjtqrxn7m1TVPEgw/ls.jpg,https://www.yelp.com/biz/broadway-varietease-new-york,158 W 72nd St,Upper West Side,10025,(212) 362-2590
Ed’s Elbow Room,Beer Bar;Wine Bars,,5.0,4.0,https://s3-media2.fl.yelpcdn.com/bphoto/oTpi2iFMezInzHDBrt9OUw/ls.jpg,https://www.yelp.com/biz/eds-elbow-room-new-york,308 E 78th St,Upper East Side,10025,(646) 649-3764
Caprice,Lounges,$$,3.0,29.0,https://s3-media4.fl.yelpcdn.com/bphoto/ImBP2l9Zi7YdOdTjdp4U1g/ls.jpg,https://www.yelp.com/biz/caprice-astoria,3108 Astoria Blvd,Astoria,10025,(718) 956-7200
Lau’s Wine Bar & Restaurant,Colombian;Wine Bars,,5.0,5.0,https://s3-media4.fl.yelpcdn.com/bphoto/8nrRIish24Zd2hPUOR6frw/ls.jpg,https://www.yelp.com/biz/laus-wine-bar-and-restaurant-guttenberg,6913 Park Ave,,10025,(201) 869-4441
Supernova Ball Drop,Dance Clubs,,4.0,5.0,https://s3-media1.fl.yelpcdn.com/bphoto/QvQdqB4UsesaHhJ_hiNb2Q/ls.jpg,https://www.yelp.com/biz/supernova-ball-drop-new-york,226 W 52nd St,Theater District,10025,(646) 391-0030
Da Capo Columbus,Italian;Wine Bars;Cocktail Bars,$$,4.0,77.0,https://s3-media3.fl.yelpcdn.com/bphoto/SckoG6UK-ISDbPU-q98KkA/ls.jpg,https://www.yelp.com/biz/da-capo-columbus-new-york,322 Columbus Ave,Upper West Side,10025,(646) 882-0197
Bedford Falls,Bars;American (New);Beer Gardens,$$,4.0,78.0,https://s3-media1.fl.yelpcdn.com/bphoto/aLHAV4KaPZwy-lV-sxf9Zw/ls.jpg,https://www.yelp.com/biz/bedford-falls-new-york-2,206 E 67th St,Upper East Side,10025,(212) 717-8181
Olma Caviar Boutique & Bar,Bars;Seafood,$$$,4.0,30.0,https://s3-media2.fl.yelpcdn.com/bphoto/cRvkyIfI__3Hxe672EUmHg/ls.jpg,https://www.yelp.com/biz/olma-caviar-boutique-and-bar-new-york-2,1 W 58th St,Midtown West,10025,(212) 371-8525
Judge Roy Bean Public House,Pubs;Sports Bars;Gastropubs,$$,4.0,603.0,https://s3-media4.fl.yelpcdn.com/bphoto/Ylc5xPFBBIH0bVNqDQV9LQ/ls.jpg,https://www.yelp.com/biz/judge-roy-bean-public-house-new-york,38 W 56th St,Midtown West,10025,(212) 262-8300
The Trump Bar,Bars,$$$,3.0,34.0,https://s3-media1.fl.yelpcdn.com/bphoto/zKwtQ2GG_dBJtYOsO2AbOg/ls.jpg,https://www.yelp.com/biz/the-trump-bar-new-york,Located in Trump Tower,Midtown East,10025,(212) 836-3200
Session 73,Bars;American (Traditional);Music Venues,$$,3.0,209.0,https://s3-media3.fl.yelpcdn.com/bphoto/zv0_On82Pnx4skKFMDpYYA/ls.jpg,https://www.yelp.com/biz/session-73-new-york,1359 1st Ave,Upper East Side,10025,(212) 517-4445
UT47,Coffee & Tea;Asian Fusion;Beer Bar,$,4.0,130.0,https://s3-media2.fl.yelpcdn.com/bphoto/7LZ1hesDJlHD4xeuxEg3hQ/ls.jpg,https://www.yelp.com/biz/ut47-new-york-3,358 W 47th St,Midtown West,10025,(917) 265-8629
Workshop,Beer Bar;Cocktail Bars;Wine Bars,$$,4.0,37.0,https://s3-media3.fl.yelpcdn.com/bphoto/7mcD76EV8gu0kT_eUu1irg/ls.jpg,https://www.yelp.com/biz/workshop-new-york-7,1415 2nd Ave,Upper East Side,10025,(646) 861-0999
Exotic Hunks,Nightlife,,5.0,1.0,https://s3-media3.fl.yelpcdn.com/bphoto/6j_AesvQqtyFhmyDcpbeyg/ls.jpg,https://www.yelp.com/biz/exotic-hunks-new-york,240 W 52nd St,Theater District,10025,(877) 876-4865
The Carlyle Restaurant,French;American (Traditional);Piano Bars,$$$$,4.0,70.0,https://s3-media4.fl.yelpcdn.com/bphoto/l3AXKMNczsoC8a_TcKphKw/ls.jpg,https://www.yelp.com/biz/the-carlyle-restaurant-new-york-3,35 E 76th St,Upper East Side,10025,(212) 744-1600
Karaoke DUET 53,Karaoke,$$,4.0,171.0,https://s3-media4.fl.yelpcdn.com/bphoto/Nlw2EpcDMvnYepicem_ndg/ls.jpg,https://www.yelp.com/biz/karaoke-duet-53-new-york,900 8th Ave,Theater District,10025,(212) 757-4676
Blue Mountain Heights Cafe & Bar,Caribbean;Bars;Cafes,$$,4.0,23.0,https://s3-media4.fl.yelpcdn.com/bphoto/GLMRpVVjUrAtLbt408nO8Q/ls.jpg,https://www.yelp.com/biz/blue-mountain-heights-cafe-and-bar-new-york,499 W 158th St,Washington Heights,10025,(646) 998-5905
Salon De Ning,Lounges;Cocktail Bars,$$$$,3.0,195.0,https://s3-media2.fl.yelpcdn.com/bphoto/MK7qRHeeAlVeXTn9QjyDPg/ls.jpg,https://www.yelp.com/biz/salon-de-ning-new-york-10,Located in The Peninsula New York,Midtown West,10025,(212) 956-2888
Vida Verde,Cocktail Bars;Mexican;Venues & Event Spaces,$$,4.0,721.0,https://s3-media4.fl.yelpcdn.com/bphoto/Uatwwj9DRs-_ahbHf31ZTQ/ls.jpg,https://www.yelp.com/biz/vida-verde-new-york,248 W 55th St,Midtown West,10025,(646) 657-0565
American Trash,Sports Bars;Pubs;Hot Dogs,$,4.0,98.0,https://s3-media3.fl.yelpcdn.com/bphoto/8XMUGTkmS_yrgobtX0QClA/ls.jpg,https://www.yelp.com/biz/american-trash-new-york-2,1471 1st Ave,Upper East Side,10025,(212) 988-9008
Gotham Lounge,American (New);Lounges,$$$,3.0,40.0,https://s3-media4.fl.yelpcdn.com/bphoto/mzRZA_9FnDaQ09AQfs5dfg/ls.jpg,https://www.yelp.com/biz/gotham-lounge-manhattan,700 5th Ave,Midtown West,10025,(212) 903-3049
Yorkville Restaurant & Bar,Bars;Restaurants,,,,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/yorkville-restaurant-and-bar-new-york,408 E 92nd St,Yorkville,10025,(212) 987-9700
La Esquina UES,Mexican;Cocktail Bars,$$,3.0,107.0,https://s3-media3.fl.yelpcdn.com/bphoto/VQO6MNYdM_lHXIOiCOLqvQ/ls.jpg,https://www.yelp.com/biz/la-esquina-ues-new-york,1402 2nd Ave,Upper East Side,10025,(646) 861-3356
Iggy’s,Karaoke;Sports Bars;Lounges,$,3.0,210.0,https://s3-media3.fl.yelpcdn.com/bphoto/iAEFy8jdlelJCal2MTmBmA/ls.jpg,https://www.yelp.com/biz/iggys-new-york,1452 2nd Ave,Upper East Side,10025,(212) 327-3043
Mosaic Craft Cocktail  Beer & Wine Bar,Venues & Event Spaces;Beer Bar;Cocktail Bars,$$,4.0,269.0,https://s3-media2.fl.yelpcdn.com/bphoto/g7Hkawos8s6rgWbJALF-ow/ls.jpg,https://www.yelp.com/biz/mosaic-craft-cocktail-beer-and-wine-bar-astoria,25-19 24th Ave,Astoria,10025,(718) 728-0708
Biddy’s Pub,Pubs,$,4.0,89.0,https://s3-media1.fl.yelpcdn.com/bphoto/klasEKqDdxE7VwfUikXAsQ/ls.jpg,https://www.yelp.com/biz/biddys-pub-new-york,301 E 91st St,Yorkville,10025,(212) 534-4785
Puerto Vallarta Restaurant,Mexican;Bars;Spanish,$$,3.0,57.0,https://s3-media2.fl.yelpcdn.com/bphoto/WEEbsOyUZZZtyLlvq-67tg/ls.jpg,https://www.yelp.com/biz/puerto-vallarta-restaurant-north-bergen,7721 John F Kennedy Blvd W,,10025,(201) 861-1965
Gotta Sing NYC Talent Search,Performing Arts;Music Venues,,,,https://s3-media3.fl.yelpcdn.com/bphoto/itLaWrrtUwJzWeJf-zjBhw/ls.jpg,https://www.yelp.com/biz/gotta-sing-nyc-talent-search-new-york,240 W 54th St,Hell's Kitchen,10025,(212) 874-7956
Mexicue,Mexican;Breakfast & Brunch;Cocktail Bars,,4.0,34.0,https://s3-media1.fl.yelpcdn.com/bphoto/JTZO2WmiWoummUnOI-2wrw/ls.jpg,https://www.yelp.com/biz/mexicue-new-york-13,1429 3rd Ave,Upper East Side,10025,(212) 988-4700
The Polo Bar,American (Traditional);Bars,$$$,4.0,351.0,https://s3-media2.fl.yelpcdn.com/bphoto/d0mwZa6X-yqhdXrMg5VdRg/ls.jpg,https://www.yelp.com/biz/the-polo-bar-new-york,1 E 55th St,Midtown East,10025,(212) 207-8562
Rooftop Of 393,Nightlife,,,,https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,https://www.yelp.com/biz/rooftop-of-393-new-york,393 W 49th St,Theater District,10025,
King Cole Bar,Lounges,$$$,3.0,220.0,https://s3-media2.fl.yelpcdn.com/bphoto/fTPg6VnnWgkmuVY13soIqg/ls.jpg,https://www.yelp.com/biz/king-cole-bar-new-york-2,2 E 55th St,Midtown East,10025,(212) 339-6857
Harry’s New York Bar & Lounge,Lounges;Cocktail Bars,$$$,2.0,21.0,https://s3-media1.fl.yelpcdn.com/bphoto/Vq4UYX7eYFBv_9eIV-kr0g/ls.jpg,https://www.yelp.com/biz/harrys-new-york-bar-and-lounge-new-york,Located in Park Lane Hotel,Midtown West,10025,(212) 521-6153
Sam’s Soul Food Restaurant Bar & Lounge,Soul Food;Lounges,$$,3.0,68.0,https://s3-media3.fl.yelpcdn.com/bphoto/cgoS9TaqotJSqZUxbcqubg/ls.jpg,https://www.yelp.com/biz/sams-soul-food-restaurant-bar-and-lounge-bronx,596-598 Grand Concourse,Concourse Village,10025,(718) 665-5341
